,soma,ah,axon_narrow,axon_distal
L,300,45,90,300
diam,0.4,1,0.3,0.4
nseg,20,3,6,20
gkbar,0.012,0.018,0.018,0.012
gabar,0,0.054,0.054,0
gcabar,0,0.0015,0,0
gkcbar,0.000065,0.000065,0.000065,0.000065
gnabar,0.07,0.125,0.1,0.07
seg_len,15,15,15,15
