,soma,ah,axon_narrow,axon_distal
L,20,45,90,5310
diam,30,1,0.3,0.7
nseg,2,3,6,354
gkbar,0.018,0.018,0.018,0.018
gabar,0.054,0.054,0.054,0
gcabar,0.0015,0.0015,0,0
gkcbar,0.000065,0.000065,0.000065,0.000065
gnabar,0.08,0.125,0.1,0.07
